region,purpose,year,avg_spending_per_visit,avg_spending_per_day
Total World,Business,2019,671.6799525786403,160.5633534343182
Total World,Business,2020,NA,NA
Total World,Business,2021,768.008543675289,101.47804103723043
Total World,Business,2022,967.5972027675948,209.04756314010962
Total World,Visiting friends or relatives,2018,505.57467304365167,52.78229266444955
Total World,Visiting friends or relatives,2019,515.6095002801429,57.231608556282914
Total World,Visiting friends or relatives,2020,NA,NA
Total World,Visiting friends or relatives,2021,692.9375297368175,43.28080493725098
Total World,Visiting friends or relatives,2022,641.5181909151635,57.75239059801737
Total World,Miscellaneous,2018,1027.4100365897636,71.13909756274806
Total World,Miscellaneous,2019,993.1221064252338,72.36998514506375
Total World,Miscellaneous,2020,NA,NA
Total World,Miscellaneous,2021,1926.216736635735,54.49057554265878
Total World,Miscellaneous,2022,1057.9107022091923,70.9528081413231
Total World,All visits,2018,658.0365195105057,90.64189234039398
Total World,All visits,2019,696.2807029636888,97.66905666756185
Total World,All visits,2020,NA,NA
Total World,All visits,2021,874.9273997868579,59.72258797378715
Total World,All visits,2022,843.3811600382243,100.24555841378927
