region,purpose,year,number_of_visits,avg_length_of_stay
- of which EU20,Miscellaneous,2019,10512,8.5
- of which EU20,Miscellaneous,2020,NA,NA
- of which EU20,Miscellaneous,2021,7043.789216734046,27.233355213236855
- of which EU20,Miscellaneous,2022,9469.22339040229,9.661492535267024
- of which EU21,All visits,2018,96313,4.8
- of which EU21,All visits,2019,98767,4.9
- of which EU21,All visits,2020,NA,NA
- of which EU21,All visits,2021,36138.35541318524,10.27956606029605
- of which EU21,All visits,2022,88886.2120006729,5.690074511803332
- of which EU Oth,Holiday,2018,5152,7.4
- of which EU Oth,Holiday,2019,7077,6.6
- of which EU Oth,Holiday,2020,NA,NA
- of which EU Oth,Holiday,2021,1267.604862788164,14.448257939099047
- of which EU Oth,Holiday,2022,3913.0794066661215,5.811875530231412
- of which EU Oth,of which inclusive tour,2018,1134,10.8
- of which EU Oth,of which inclusive tour,2019,1400,6.5
- of which EU Oth,of which inclusive tour,2020,NA,NA
- of which EU Oth,of which inclusive tour,2021,65.97573515447061,8.051951109527968
- of which EU Oth,of which inclusive tour,2022,272.08262886056053,5.636830610339861
- of which EU Oth,Business,2018,9197,5.1
- of which EU Oth,Business,2019,8128,4.6
- of which EU Oth,Business,2020,NA,NA
- of which EU Oth,Business,2021,2095.1713061703513,5.691313083833676
- of which EU Oth,Business,2022,4416.831487913059,3.709680595794741
- of which EU Oth,Visiting friends or relatives,2018,17281,10.5
- of which EU Oth,Visiting friends or relatives,2019,15192,10.2
- of which EU Oth,Visiting friends or relatives,2020,NA,NA
- of which EU Oth,Visiting friends or relatives,2021,7121.207336459508,18.127460603426993
- of which EU Oth,Visiting friends or relatives,2022,13358.144351428073,9.773952050067194
- of which EU Oth,Miscellaneous,2018,3008,17.9
- of which EU Oth,Miscellaneous,2019,3265,20.9
- of which EU Oth,Miscellaneous,2020,NA,NA
- of which EU Oth,Miscellaneous,2021,1506.892388220316,32.833899487811074
- of which EU Oth,Miscellaneous,2022,1371.47831659773,12.752633046700897
- of which EU Oth,All visits,2018,34637,8
- of which EU Oth,All visits,2019,33662,7.5
- of which EU Oth,All visits,2020,NA,NA
- of which EU Oth,All visits,2021,11990.875893638311,13.403552256437518
- of which EU Oth,All visits,2022,23059.533562605007,6.907843546048243
Other Countries,Holiday,2018,31484,8.3
Other Countries,Holiday,2019,33500,8.7
Other Countries,Holiday,2020,NA,NA
Other Countries,Holiday,2021,2763.434651368325,15.308587642480335
Other Countries,Holiday,2022,18069.32659567735,10.268963680645253
Other Countries,of which inclusive tour,2018,3427,6.9
Other Countries,of which inclusive tour,2019,4315,7.9
Other Countries,of which inclusive tour,2020,NA,NA
Other Countries,of which inclusive tour,2021,61.905481531626414,11.028934778591703
Other Countries,of which inclusive tour,2022,1490.9257025738436,14.397158515935507
Other Countries,Business,2018,8888,8.1
Other Countries,Business,2019,9265,8.3
Other Countries,Business,2020,NA,NA
Other Countries,Business,2021,1506.9293722839182,22.769364117665177
Other Countries,Business,2022,5758.7992508030275,11.534864496937523
Other Countries,Visiting friends or relatives,2018,44580,17.1
Other Countries,Visiting friends or relatives,2019,42698,17.2
Other Countries,Visiting friends or relatives,2020,NA,NA
Other Countries,Visiting friends or relatives,2021,15316.644929242533,36.70046450490851
Other Countries,Visiting friends or relatives,2022,50032.968766124395,23.314240897538486
Other Countries,Miscellaneous,2018,19186,29.1
Other Countries,Miscellaneous,2019,18134,24.6
Other Countries,Miscellaneous,2020,NA,NA
Other Countries,Miscellaneous,2021,6853.729228773348,72.50484367727154
Other Countries,Miscellaneous,2022,11865.054355525333,31.557487410570815
Other Countries,All visits,2018,104138,12.8
Other Countries,All visits,2019,103597,12.6
Other Countries,All visits,2020,NA,NA
Other Countries,All visits,2021,26440.73818166814,34.85614344755426
Other Countries,All visits,2022,85726.14896812984,17.931093957347016
Total World,Holiday,2018,95712,5.9
Total World,Holiday,2019,102219,6
Total World,Holiday,2020,NA,NA
Total World,Holiday,2021,10204.152430516504,8.681238077235024
Total World,Holiday,2022,75029.7549099896,6.20485564019584
Total World,of which inclusive tour,2018,11898,5.5
Total World,of which inclusive tour,2019,14841,5.8
Total World,of which inclusive tour,2020,NA,NA
Total World,of which inclusive tour,2021,554.7626664354402,7.386183544432834
Total World,of which inclusive tour,2022,6576.601899842715,7.021359141985724
Total World,Business,2018,36666,4.2
Total World,Business,2019,36267,4.2
Total World,Business,2020,NA,NA
Total World,Business,2021,9251.045363456213,7.568223980531126
Total World,Business,2022,23831.88087495778,4.628598335389749
Total World,Visiting friends or relatives,2018,118085,9.6
Total World,Visiting friends or relatives,2019,111959,9
Total World,Visiting friends or relatives,2020,NA,NA
Total World,Visiting friends or relatives,2021,55332.66964029513,16.010273624565126
Total World,Visiting friends or relatives,2022,130862.39877641018,11.108080276371913
Total World,Miscellaneous,2018,40861,14.4
Total World,Miscellaneous,2019,39183,13.7
Total World,Miscellaneous,2020,NA,NA
Total World,Miscellaneous,2021,18734.233139248383,35.34953920844104
Total World,Miscellaneous,2022,33140.19226588227,14.91006106625204
Total World,All visits,2018,291324,7.2
Total World,All visits,2019,289628,7.1
Total World,All visits,2020,NA,NA
Total World,All visits,2021,93522.10057351648,14.64985744038541
Total World,All visits,2022,262864.2268272412,8.41315239680697
