year,month,region,number_of_visits_thousands
2018,Jan,all_visit,2734.12724005823
2018,Jan,north_america,320.9125489990705
2018,Jan,europe,1790.0258083581473
2018,Jan,other_countries,623.188882701013
2018,Feb,all_visit,2572.505934466865
2018,Feb,north_america,262.2225452399027
2018,Feb,europe,1869.7834592757572
2018,Feb,other_countries,440.49992995120493
2018,Mar,all_visit,3240.039947930833
2018,Mar,north_america,354.4278301733642
2018,Mar,europe,2405.4093769007895
2018,Mar,other_countries,480.20274085667916
2018,Apr,all_visit,3403.904852638703
2018,Apr,north_america,452.9401306859786
2018,Apr,europe,2422.561216456674
2018,Apr,other_countries,528.40350549605
2018,May,all_visit,3613.684654627259
2018,May,north_america,559.6011916249251
2018,May,europe,2416.8708889308105
2018,May,other_countries,637.2125740715238
2018,Jun,all_visit,3503.2992132571085
2018,Jun,north_america,650.9286677553047
2018,Jun,europe,1985.0226581701036
2018,Jun,other_countries,867.3478873317005
2018,Jul,all_visit,4172.403069918681
2018,Jul,north_america,796.5204280074039
2018,Jul,europe,2376.781667628942
2018,Jul,other_countries,999.1009742823339
2018,Aug,all_visit,4126.496070225113
2018,Aug,north_america,548.4843172923805
2018,Aug,europe,2557.1273170192662
2018,Aug,other_countries,1020.8844359134656
2018,Sep,all_visit,3237.412895518127
2018,Sep,north_america,518.5454128469314
2018,Sep,europe,1969.6205775255353
2018,Sep,other_countries,749.2469051456601
2018,Oct,all_visit,3491.3943701425987
2018,Oct,north_america,460.32843364317137
2018,Oct,europe,2350.2372957835964
2018,Oct,other_countries,680.8286407158313
2018,Nov,all_visit,3112.4828437698275
2018,Nov,north_america,293.88367028553563
2018,Nov,europe,2300.3614277560728
2018,Nov,other_countries,518.2377457282192
2018,Dec,all_visit,3075.4515361997173
2018,Dec,north_america,204.92528225814044
2018,Dec,europe,2248.8240124039526
2018,Dec,other_countries,621.7022415376239
2019,Jan,all_visit,2830.273952091494
2019,Jan,north_america,330.39419812836667
2019,Jan,europe,1936.415937971223
2019,Jan,other_countries,563.4638159919042
2019,Feb,all_visit,2372.395442118194
2019,Feb,north_america,213.1764638814216
2019,Feb,europe,1741.6874440391757
2019,Feb,other_countries,417.5315341975966
